source,manufacturer_name,product_url,product_article_id,sds_pdf,sds_source,sds_language,product_name,sds_pdf_product_name,sds_pdf_published_date,sds_pdf_revision_date,sds_pdf_manufacture_name,sds_pdf_Hazards_identification,sds_filename,crawl_date
carlroth.py,carlroth,https://www.carlroth.com/com/en/precipitation-concentration/polyethylene-glycol-6000/p/0158.1,,https://www.carlroth.com/medias/SDB-0158-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzk1OTd8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oZDgvaDE5Lzg5NzA5MjEwMTczNzQucGRmfDBhOGE0N2Q5NTJlMjlkYmY2Zjg0YzJhMmY2YjVjODdkNmYxYjhkNjdhZDgyZWE2M2NhNThkMmM1NGY4YWI2Yzk,https://www.carlroth.com/com/en/precipitation-concentration/polyethylene-glycol-6000/p/0158.1,Norwegian,"Polyethylene glycol 6000, 1 kg ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,05/07/2019,Carl Roth GmbH + Co KG,,downloads/SDB-0158-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/polyvinylpyrrolidone-k-25/p/4606.7,,https://www.carlroth.com/medias/SDB-4606-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzAxNDV8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oMjQvaGEzLzg5NzA5NzE3MDk0NzAucGRmfGIyMTg4NGE5MDBhMDY3MTY4Y2NmZTVkZDUzODU4YzJlYzE3MzI0MmJkZTk5MTc0ZTc5NjJhMTgzMjBiZDEyZWM,https://www.carlroth.com/com/en/a-to-z/polyvinylpyrrolidone-k-25/p/4606.7,Norwegian,"Polyvinylpyrrolidone K 25, 5 kg extra pure",polyvinylpyrrolidon,07/02/2018,24/04/2018,Carl Roth GmbH + Co KG,,downloads/SDB-4606-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/heating-bath-fluids/heating-bath-fluid-rotithermk-%2B-h/p/7143.2,,https://www.carlroth.com/medias/SDB-7143-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wzMTYzODh8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYzMvaGNiLzg5NzEwMDM1MjcxOTgucGRmfGE5YjU0NTg4NTkxNGQ3MTE5YmE0NmI1NjRhZWNkNDA2NTdiYmM5Y2EzMmZkZjNkMzA3NmRiMWMxMDljMmFmMTQ,https://www.carlroth.com/com/en/heating-bath-fluids/heating-bath-fluid-rotithermk-%2B-h/p/7143.2,Norwegian,"Heating bath fluid ROTITHERM®K + H, 5 l ROTITHERM®",Polyglycol ether modified,06/04/2016,,Carl Roth GmbH + Co KG,,downloads/SDB-7143-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/0998.3,,https://www.carlroth.com/medias/SDB-0998-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMTkzMDZ8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNzgvaDk1Lzg5NzA5MjUxMTMzNzQucGRmfGE3MjEyZWJlYmM0MTQyZWIwZTJlMjNmYjc3MjAzNDg2NmEwNzJmNmQyZjlkNjA0NWU1NjE5ZjkxNGY3NGRkZmI,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/0998.3,Norwegian,"Charcoal, 5 kg ~3 mm, steam-activated",Aktivert karbon,21/01/2019,,Carl Roth GmbH + Co KG,,downloads/SDB-0998-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/5966.2,,https://www.carlroth.com/medias/SDB-5966-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMTkyMzl8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYWQvaGRiLzg5NzA5Njg1MzA5NzQucGRmfGNjOGExMTg0NmRhMTY1ZTY1NjRjNjFiMTU0MjJhZGM4OTFmYzM2MWNmNTFiMDc1ZmI1ZDU4YTVlMDBhMWM4MjI,https://www.carlroth.com/com/en/activated-charcoal/charcoal/p/5966.2,Norwegian,"Charcoal, 5 kg 1-3 mm, made from peat, grey, steam activated",Aktivert karbon,21/01/2019,,Carl Roth GmbH + Co KG,,downloads/SDB-5966-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/hydrophilic-carbowax-embedding/polyethylene-glycol-1500/p/0152.2,,https://www.carlroth.com/medias/SDB-0152-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzgxOTF8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYmIvaGQzLzg5NzA5MjgxMjgwMzAucGRmfGYwNWM2NzlhNjUzZTQyM2E0NjI0YjQ1OThiZjY4NTVkNmVmNmY4ZWRhYjRlMTkzMTZkYmIyMTU3ODJlMzRmYmY,https://www.carlroth.com/com/en/hydrophilic-carbowax-embedding/polyethylene-glycol-1500/p/0152.2,Norwegian,"Polyethylene glycol 1500, 5 kg, plastic ROTIPURAN® Ph.Eur.",Polyetylenglykol,09/12/2015,05/07/2019,Carl Roth GmbH + Co KG,,downloads/SDB-0152-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/p091.2,,https://www.carlroth.com/medias/SDB-P091-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wxOTEzNjB8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNWEvaGQ1Lzg5NzEwNTkzMzExMDIucGRmfDJmOTU1ODFmYWYyYmJiZGQxZTU0YzI2MjIwZGE2ZDE2NTBkZTA1ZTJhYTk4ODlkNmZkZDY5Zjk5Zjg5ODQ3MjM,https://www.carlroth.com/com/en/silica-gels-unmodified/silica-gel-60/p/p091.2,Norwegian,"Silica gel 60, 1 kg 0,04-0,063 mm (400-230 mesh)",Silisiumdioksid 60,27/06/2016,25/08/2017,Carl Roth GmbH + Co KG,,downloads/SDB-P091-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-350/p/4035.1,,https://www.carlroth.com/medias/SDB-4035-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyNDgxMTF8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oMDAvaGRkLzg5NzA5NzY1NTkxMzQucGRmfGYwY2FhYmE2Y2UyYTcxNDBhMDYwOGU0OWI4MTgzMDlkODI5MjRkM2VhZGVmZTc0ZTViOWQ0OGMzMjdmYTE0MjI,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-350/p/4035.1,Norwegian,"Silicone oil M 350, 1 kg medium viscous, 350 cSt",Silikonolje,17/03/2016,29/03/2019,Carl Roth GmbH + Co KG,,downloads/SDB-4035-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-50/p/4020.2,,https://www.carlroth.com/medias/SDB-4020-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMzc3Nzd8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oNzAvaDY4Lzg5NzA5NzgxMzE5OTgucGRmfDA1YTBhZjllNjZiYzE2YTBjYjUyYzA5NTk2OWFkOWE2YmFkNDI3NTBkNWQyNzM4Mjg1ZTdjNjljMjExMTQxYjQ,https://www.carlroth.com/com/en/a-to-z/silicone-oil-m-50/p/4020.2,Norwegian,"Silicone oil M 50, 10 kg medium viscous, 50 cSt",Silikonolje,17/03/2016,29/03/2019,Carl Roth GmbH + Co KG,,downloads/SDB-4020-NO-NO.pdf,29/06/2020
carlroth.py,carlroth,https://www.carlroth.com/com/en/gycerin-from-vegetables/glycerol/p/7533.1,,https://www.carlroth.com/medias/SDB-7533-NO-NO.pdf?context=bWFzdGVyfHNlY3VyaXR5RGF0YXNoZWV0c3wyMTY3NjN8YXBwbGljYXRpb24vcGRmfHNlY3VyaXR5RGF0YXNoZWV0cy9oYjUvaDZlLzg5NzEwMDM1NTk5NjYucGRmfDc3YzQ1MTNmOWI1MjM5YjMwN2FhM2FkOTZhZTFjNTUyNzU0ZGZmOTJlZGMwMzk1MzgzMjU5YjBhY2Y0MzI5ZjA,https://www.carlroth.com/com/en/gycerin-from-vegetables/glycerol/p/7533.1,Norwegian,"Glycerol, 1 l SOLVAGREEN® ~86 %, Ph.Eur., extra pure",Glyserin,14/07/2015,28/06/2018,Carl Roth GmbH + Co KG,,downloads/SDB-7533-NO-NO.pdf,29/06/2020
